Crop,Nitrogen,Phosphorus,Potassium,Rainfall,Yield
Maize,60.93645469887248,45.93027816311288,42.41844910800191,114.63501975360042,2360.5575725825133
Cotton,59.75830392575999,26.89545448420665,39.974725773884195,117.89567659648348,2812.8634450495438
Rice,112.50036644168293,54.8957825341926,30.569234750171603,230.39474278459213,4592.524754459887
Maize,59.96369598796049,44.52464956276966,56.436000206089275,197.38814264784963,3106.473137008324
Maize,61.75597809029048,26.28815534227817,48.59744963051773,258.08305006384205,3110.7807375529087
Cotton,100.7518609934371,58.49352229924827,71.94205953944022,283.2541674687063,4804.250111439625
Rice,75.9791873960432,40.73461853341283,21.926574828923496,177.6733755343095,3101.77663028639
Rice,102.1368445564145,22.9159380748662,58.63207565330758,219.28200531692926,3745.698724843323
Maize,45.22929260515082,45.07331617660269,65.77693271069367,200.13932555906197,2700.9666020172926
Wheat,79.00569549387075,30.127956280512407,65.56919415129842,296.3221311284866,3997.3658890986835
Maize,42.68908801466261,52.1477380750921,73.1644380257315,266.216881471319,3594.764363322829
Maize,45.01225627642836,52.712882942647624,63.74202456976965,282.3475416554707,3673.388449272232
Maize,112.51499626755287,59.15789423418647,75.66860369886177,150.86801751552082,4333.513981280963
Maize,51.13962968940761,40.074781240980144,39.95939598925349,254.50528463251888,3005.752305265751
Cotton,82.59365458201736,38.19827518910948,50.19256500509258,153.09464499952978,3460.964469670771
Rice,72.88764820805653,50.13902421785922,20.84477979697344,141.74850668567797,2847.298414148932
Cotton,67.7874661007074,25.298826253677063,20.417455238197473,288.85323193111014,3055.9702633032034
Cotton,111.9866676549818,41.87662055172497,34.407597227091195,103.86088334357333,3336.496507887721
Cotton,41.74587174203916,41.84990400523404,26.048431828345116,293.0777407326859,2543.0053032476485
Maize,93.10317489404713,23.578924912415488,35.61268207614522,129.85237939776124,2918.632508747458
Wheat,117.07155473708403,36.719363420276544,30.622597671703844,263.88761635865364,4345.693534789804
Rice,84.81345467694736,54.131391942688076,21.711201490318896,155.1845106136206,3254.1992110034093
Wheat,114.94579696264735,54.246144879786414,74.55824878436297,170.14046548614547,4696.428942404743
Cotton,44.1806303428819,23.96950659678724,20.49338788333349,143.35154226439698,1938.8332869847147
Cotton,73.50346552593291,23.628835309913235,64.16492866022512,217.1028084962159,3455.600023032411
Wheat,60.81262327696409,30.50781908007741,29.12887321517099,169.61910950157483,2798.2903716823093
Wheat,98.46567719845838,54.99064250215974,74.733777319976,231.47860789893264,4922.7149643644425
Wheat,118.50376723977973,25.15610340293996,73.56775637539315,103.12946358841319,3722.4573056267222
Cotton,60.52240499553982,48.79987210509785,59.23406878215544,112.87497670300792,2570.670531801479
Cotton,92.33396811792596,24.046624784524127,60.33404898803631,119.93223054624973,3365.554754487389
Rice,55.847810620779214,44.92551414991301,20.320348518181312,183.7987370620462,3132.99577045714
Rice,85.22642036572879,34.2426919647658,79.09229396681613,262.9592345319952,3970.0698049317893
Cotton,77.1145989350669,51.55655851863468,72.66995621454886,277.63558207567655,4331.889340230296
Wheat,117.76042637052296,29.347617953014545,73.70637354380551,148.96214801218014,4260.915579411773
Wheat,88.68218181571733,45.56807317559839,59.554672223052314,214.87394484780282,4067.278983252168
Rice,67.9605097669455,29.4273013830354,40.68721571927219,253.6729985385201,3283.043572905161
