Actual,Predicted
3968.096854830932,4026.2958020264114
2979.165629624502,3049.9504601969124
3806.264364366203,3772.313387531974
3758.021057255981,3595.555813066053
4195.695278545595,4144.6176862126795
4329.624635733194,4225.231599341353
2702.0820593617746,3417.2906290589726
4568.766835086047,4122.850850852438
3057.938381389307,2967.4092875060624
4156.578654605733,4110.625503519225
3425.3974858406305,3606.454223953604
4030.182039717975,4032.5349446146593
3965.733321849608,4264.017663268846
2003.434253035604,2357.4481468538766
2459.214512593054,2562.9917633735927
3750.7327750558575,3616.0126136776735
4395.945279423164,4143.33326189362
4452.268140578072,4938.321906150624
3286.455283114841,3219.393131663637
2720.73803329127,3157.5203547852475
3435.3719566822515,3256.5864866753795
3510.794314747268,3827.2948708878994
2889.0520540987804,2824.864442188501
3308.1908274353204,3178.6264670204623
2242.1041412157424,2383.294926622476
4463.772481331627,4326.626778237932
3849.060363505498,3879.7399531240126
3204.9414329073115,3685.91013743893
3346.065762536037,3337.392075175808
3204.5150034398844,3597.034452295971
3747.9410672245567,3834.744436090387
3448.957619014099,2988.3799878532036
3355.5998137684533,2932.920759286428
3602.8045563772093,3396.2386791061367
3840.11316141071,3586.403948079643
4196.655544979771,3491.96483837677
3318.462028098905,2960.3660312890033
2341.5028276927906,2800.0193285586047
3874.052343530016,3815.6029145146617
2826.683704815616,2865.3356038509332
3711.305048605611,3583.545136474466
3870.842193980447,3873.17574118912
4021.686800349272,3900.8397591477974
4096.664560501231,4130.240092066435
3902.774819156005,3803.8950053066483
2859.21664287711,2890.322979534803
3000.74226974252,2890.808075182216
3431.5588366224224,3148.747966671963
3472.726040044872,3801.041298816766
3884.2885442157913,3856.7216295565186
4123.974375246136,3974.724404352257
4161.595586436532,3619.952765225588
4051.9202591035305,4255.481531844621
3845.199805106634,4167.343392986862
3446.4373494747774,3443.3524353343423
2269.741962175314,2723.682526584997
3241.758843696347,3269.789272303742
3049.58582995493,2956.28227076762
3861.7691562562222,3824.3035140354605
4373.604319550404,4065.6197234023493
3562.064716016419,3713.3533915535095
3672.685231437573,3545.369735782319
3524.6806497012126,3500.08078646571
2835.6366879318844,2862.2542550926605
3861.0805340277298,3931.883278669576
4268.914477739351,3792.402556189067
3064.10125437867,3523.103242880812
3219.2620110885136,3504.9855864025567
4057.9674710534136,3780.0213652142547
3460.964469670771,3223.804886180364
3426.804301501991,3464.830001505961
3124.625646344394,3389.6379872590496
4045.128725900527,3646.4599796238317
2700.9666020172926,3117.385399024803
3941.782236202145,4170.920750540484
3618.928895391136,3601.501716888537
3315.3672552571625,3030.6864516936894
4282.457168993488,4059.745866752353
3540.023379787813,3148.717877258794
2676.43283119797,3005.637336577351
4236.550046201649,4257.05910345899
3630.47677900681,4239.6334029603295
2649.852132507047,2599.208153850099
2733.0125273381527,3136.1111100330613
2428.932151925856,2703.0658036448417
4312.415740339458,3995.7666948094475
3534.482380120552,3159.4239418849747
3704.8868510027087,3836.8522078970236
4143.25328755421,4170.723304780078
2378.976695314267,2575.837958710751
3917.0572769419136,4482.671129649309
3344.776182424632,3143.0856040724525
2394.711185585414,2765.89562898824
3262.190847266288,3050.346706591902
4063.6848044271424,4276.1063798304
4625.604728291538,4252.975804262221
3516.324032501824,3870.1209108261423
3398.1795210097025,3271.1507842987953
3831.304766732024,3408.595077519993
4331.889340230296,4018.6153331402365
3044.1411220279942,3188.1216209227136
2964.6890450437604,3205.619888365795
3806.8224215925993,3223.3169929201777
3053.626707427165,3265.8153653191007
2738.6999145234413,2882.244240211099
3493.018583028116,3650.828998182465
4260.915579411773,3960.2902622893234
3343.550841990288,3681.4234784935825
4107.636758001954,4248.6888297275045
3623.757243303313,3574.669992569269
2952.0647500925606,2767.546448318517
3352.922907573881,3834.2823992720473
3966.58995903934,3547.1754037864707
3471.4358157990137,3311.818366091108
3290.6236239065533,3176.3477599999183
2928.1524514115263,3115.52737334219
3487.17783157379,3169.8150037922615
3093.215573890361,3182.3046589534074
3610.772568209728,3843.8576985502887
3427.040941717054,3290.072566012795
3857.098415965633,3380.5056111523672
3209.635259311556,3272.688771779552
3468.254099320354,3282.8582580094476
2894.4033641193214,3516.6216912867285
2393.7775461061883,2552.6869958801276
3628.792616151232,3382.5985465004005
2723.793340678859,2673.7144027948884
2374.1741339103905,2580.1297578731796
3000.113660572825,3240.2872930941435
3090.019413724878,3045.793144993062
2975.3316595256742,3109.0555295935346
2860.8222509127945,3020.4784751437787
3109.085188549383,3150.4262969897386
3014.247646989246,2846.258477934943
3611.3347297270857,3338.13164228084
3606.5347542749255,3630.325835743045
1983.877963042812,2544.101940941818
4448.189595000233,4129.183565655048
3527.6202242387526,3319.555964676552
2427.379070401937,2669.199935386663
3864.060041338833,3920.0499694187038
3491.844026897111,3410.4237800723267
2663.3811318067765,2870.8027362702474
4322.214903971171,4233.6051840579985
2396.017227928168,2559.793053434077
3224.383590781101,3416.1791608291005
4086.458281276692,3790.699889231402
3193.190899101824,3167.177823970711
4088.833391885386,4083.812484196526
4463.305731527458,4343.53124044449
3543.888440034621,3310.4948452355466
2826.249766479858,2728.248045113468
2918.5578931983296,2793.3482814447484
2931.822901253468,2897.1049434030188
3929.364630258611,3944.1441679507316
2833.143337003466,2800.686740724591
4357.908714557714,3922.218730231354
4208.688099933662,3958.3928500710053
3833.8403236777153,3729.268439767288
4133.966783159964,4162.7696399328715
3921.459512707888,3794.8012742345177
3139.17933708122,3200.0449482467466
2829.557346780002,3018.8072500376825
3653.1019788436265,3328.8224900852356
3336.496507887721,3343.1305595495464
2225.257403231364,2649.4002221992005
2804.147680441228,3114.2550075009776
3531.909737628659,3139.844821902598
2734.597957028137,2584.57587162063
2750.231191892508,2940.8957589376037
3182.3749287627534,3376.3007854477596
3054.417898651475,2913.880901216743
2976.0959925234188,3270.1164603450597
4494.547669437515,4350.876229342632
3345.710047062541,3173.322325860157
3219.383181087785,3048.8250424678513
4629.687095055767,4401.40485701073
3889.360870142373,3879.913679939867
4181.673929983503,4308.986519335559
3189.2751821098045,3164.674819428634
3007.46619999926,3264.4389533005346
2885.385621519825,3055.792125714147
3825.61019887774,3947.9419029436012
3438.532305862874,3683.1139722279054
3506.126413160718,3329.2777549742846
2929.36181401574,3216.6874662312466
4400.448494257234,4095.9299556191054
3296.5150147529284,3706.928363708935
4295.32527013494,4008.7240974855554
3484.9855702722584,3477.6923712529974
3874.969564213677,3622.317581286713
2365.345047288866,2901.112860267678
3589.114585713517,3225.153763852543
3467.3363907806133,3126.4860168278246
3444.6329755913853,3184.4018715857037
3508.4138248050026,3899.344773615538
3749.4176526016017,3475.127992001342
3273.501838040635,3117.0004464491435
2771.6497443733365,2922.161102663681
4307.750661850372,4187.628668758228
5141.092160480906,4654.210591604835
3230.5439033386765,3555.077212256807
3311.3989929086933,2978.422396201959
2958.357941894196,3191.567630364184
3553.453538883641,3723.039150572158
3753.0690003413215,3915.3264994967753
1938.8332869847147,2012.0030564010635
4328.536186564798,4038.555615556274
4273.925879890237,4545.972233621736
4188.676988206458,4050.0847949991057
2883.16165530861,3607.8759479366545
4144.414374215625,3912.0235652817546
3552.067763223269,3237.2664641538718
2857.334520793602,3076.1200102082466
4195.900561167949,3560.0735739917563
3376.561876773581,3691.483361709115
2761.882727417575,2724.5430866031
4735.559619806537,4656.848311846269
3168.802831931096,2897.9250739719387
3465.3963144019167,3612.1629052185276
4146.8614731885655,3706.006718384987
3864.1609928812686,3813.30556477303
3860.104576016048,3712.642350614074
4157.152039796777,4547.724721521149
3263.653636270934,3261.8737940298847
2439.415032799901,3201.3947511762367
3731.9234185058112,4154.1595009246985
2871.3900160368244,3027.1638678209965
2852.446429387337,3252.549757952331
2641.578770832627,2996.3369574096932
3744.0037043060297,3499.7305901761956
3125.11602828328,3185.6671641293633
3082.5977040132825,3189.4663750460318
3864.7111419397647,4049.2841627400394
4448.666663741363,4557.974095770407
3581.4968138486342,3747.4519210135813
3508.12985681626,3738.6390263678
3674.621530305945,3916.1310251257787
3019.94992969174,3260.3596135879534
2942.1050122909314,2899.0829232830542
3122.8103544720325,2982.4555499248568
2458.049498750357,2632.1051863960556
3945.5395405712407,3392.496310845553
4014.154333428864,3814.3321372018017
3000.7914932507447,3297.259356384095
3377.246410164281,3445.4843212323394
3851.9227770545376,3469.1678899192084
3212.920231904505,3328.983978268732
3292.474858515076,3335.7655844735455
3212.979463732483,3631.289660959105
4036.6585520903095,4255.519605057371
3987.1297752104338,4391.662318978109
2814.2121755585904,2743.565074572383
2980.6803118309685,2998.643649011812
4696.2586197225255,4200.218341347631
2930.318229053047,3213.704554531287
5085.643674961544,4921.2281051407745
3085.602300376855,3395.861399842565
4038.394042184536,3803.705909717824
3579.221689637762,3645.5513880670014
3067.323923586965,3142.7858938149006
4835.177931505259,4368.36849364206
3251.8218874775544,3626.9232565099305
1682.3298791371994,2475.5513618417513
3757.710876182552,3363.5658420097675
2820.9658285295523,2892.8668050893034
2509.904640919844,2330.307330236066
3648.547451856384,3594.7191171028653
3559.5445022766503,3548.5743726434325
3819.038015895554,3954.237472371408
2537.2068986245167,3112.862217283055
3339.631449716329,2913.261338748286
4808.302808077856,4201.870058354226
3853.6644578274527,4087.6169837703105
3645.222918472784,3890.0509231373
3670.1786670606334,3382.0826178286156
3793.195713391466,3507.5341811975
4081.489562889077,4137.733426335951
4195.880703259643,3908.660789463322
3059.482065003658,2988.948745788309
2928.561568298186,3057.899112273977
3600.158194698841,3633.9392693294662
3602.483396365368,3546.5029444588436
2944.8335252283177,3372.7171106023047
3032.0384884466484,2928.1840559693815
4039.450258105785,4203.917686334565
2089.5524186528846,2238.708253726633
3935.480862116471,4213.7223613257065
3356.4929382095625,3439.8633293211633
4281.935829607136,3979.3300682588424
2306.6525042492103,2600.6098222214423
4128.207941796221,4265.296387674684
2400.853756906983,2542.3103948313346
3166.0716751782275,2844.7022845159117
3201.729537443578,2771.4397065732364
3368.0047167234,3001.1202322765753
3187.131627247201,3202.8534616657134
2812.61133689637,2713.29894410942
2611.1353203800327,2803.145567285485
3522.4376405558733,3497.8275698850607
3077.287373493966,3343.12777180211
4061.87794987042,4160.850320012019
2706.199988612409,2893.084982755836
4922.7149643644425,4289.951293617362
3784.0907988529657,3943.2064128193974
3525.192389783767,3146.693611533503
3939.45785002569,3972.4049129304567
2956.127227780956,2871.25161842912
3698.42605204497,3904.7221028530776
2337.0528425041653,2408.185567542302
2729.376039682962,3180.8860067181754
2985.421777317008,2906.8870784126243
4039.537751720856,4268.756581260748
2543.156433255097,2652.7117523936317
3069.3898103745164,3548.1182072678653
2994.828764668389,3182.3886312221325
2958.484806393858,3095.351612756644
2747.358075436649,2882.6446406532896
2801.7994587124576,3054.6791350969365
3627.416392690584,3620.0418131713986
3336.341926598439,3540.3797716741574
2909.1367707878308,2578.4200017271255
3977.822824160677,3957.9533250424647
4445.048243466132,4202.115658803702
3049.1240408577974,3151.0350107805325
4293.401589260719,3847.301146682469
3016.177354038374,2714.075440910202
4574.483493834828,4324.62242254151
4314.483059380203,4094.447092884796
3473.949947375316,3702.4007543588323
2780.088237664976,3068.223685927481
3517.5450732514923,3875.1748001241017
4335.744914716781,4160.04996905906
2972.8002715841085,3076.727815631676
3742.395490355024,3549.2624021386255
2707.842135792203,2867.0504274301015
